127.0.0.1 - - [03/May/2022:17:59:39 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/May/2022:17:59:40 +0530] "GET /MIMEApp/ HTTP/1.1" 200 585
0:0:0:0:0:0:0:1 - - [03/May/2022:17:59:43 +0530] "GET /MIMEApp/test1 HTTP/1.1" 200 477
0:0:0:0:0:0:0:1 - - [03/May/2022:17:59:50 +0530] "OPTIONS /MIMEApp/ HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/May/2022:17:59:50 +0530] "OPTIONS /MIMEApp/ HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/May/2022:17:59:50 +0530] "OPTIONS /MIMEApp/ HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/May/2022:17:59:50 +0530] "HEAD /MIMEApp/test1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/May/2022:17:59:50 +0530] "HEAD /MIMEApp/test1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/May/2022:17:59:50 +0530] "OPTIONS /MIMEApp/test1/ HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/May/2022:17:59:50 +0530] "OPTIONS /MIMEApp/test1/ HTTP/1.1" 200 -
