127.0.0.1 - - [16/May/2022:19:06:09 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/May/2022:19:06:10 +0530] "GET /LoginApp/ HTTP/1.1" 200 680
0:0:0:0:0:0:0:1 - - [16/May/2022:19:06:14 +0530] "GET /LoginApp/user.html HTTP/1.1" 200 663
0:0:0:0:0:0:0:1 - - [16/May/2022:19:06:16 +0530] "GET /LoginApp/login.html HTTP/1.1" 200 680
0:0:0:0:0:0:0:1 - - [16/May/2022:19:06:40 +0530] "POST /LoginApp/userurl HTTP/1.1" 200 114
0:0:0:0:0:0:0:1 - - [16/May/2022:19:07:12 +0530] "POST /LoginApp/userurl HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [16/May/2022:19:50:10 +0530] "POST /LoginApp/userurl HTTP/1.1" 200 112
0:0:0:0:0:0:0:1 - - [16/May/2022:19:50:41 +0530] "POST /LoginApp/userurl HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [16/May/2022:19:51:01 +0530] "POST /LoginApp/userurl HTTP/1.1" 200 112
