127.0.0.1 - - [01/May/2023:22:37:22 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/May/2023:22:37:24 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 23610
0:0:0:0:0:0:0:1 - - [01/May/2023:22:37:24 +0530] "GET /Online_FIR_System/images/logo.png HTTP/1.1" 200 186124
0:0:0:0:0:0:0:1 - - [01/May/2023:22:37:24 +0530] "GET /Online_FIR_System/images/ethana1.jpg HTTP/1.1" 200 28609
0:0:0:0:0:0:0:1 - - [01/May/2023:22:37:24 +0530] "GET /Online_FIR_System/images/1.jpg HTTP/1.1" 200 233152
0:0:0:0:0:0:0:1 - - [01/May/2023:22:37:24 +0530] "GET /Online_FIR_System/images/2.jpg HTTP/1.1" 200 78034
0:0:0:0:0:0:0:1 - - [01/May/2023:22:37:24 +0530] "GET /Online_FIR_System/images/4.jpg HTTP/1.1" 200 54472
0:0:0:0:0:0:0:1 - - [01/May/2023:22:37:24 +0530] "GET /Online_FIR_System/images/3.jpg HTTP/1.1" 200 28300
0:0:0:0:0:0:0:1 - - [01/May/2023:22:37:24 +0530] "GET /Online_FIR_System/images/5.jpg HTTP/1.1" 200 58473
0:0:0:0:0:0:0:1 - - [01/May/2023:22:37:24 +0530] "GET /Online_FIR_System/images/tender-ico.png HTTP/1.1" 200 10014
0:0:0:0:0:0:0:1 - - [01/May/2023:22:37:24 +0530] "GET /Online_FIR_System/images/go-ico.png HTTP/1.1" 200 11133
0:0:0:0:0:0:0:1 - - [01/May/2023:22:37:24 +0530] "GET /Online_FIR_System/images/circular.png HTTP/1.1" 200 9412
0:0:0:0:0:0:0:1 - - [01/May/2023:22:37:24 +0530] "GET /Online_FIR_System/images/welfare-ico.png HTTP/1.1" 200 7708
0:0:0:0:0:0:0:1 - - [01/May/2023:22:37:24 +0530] "GET /Online_FIR_System/images/act-ico.png HTTP/1.1" 200 9216
0:0:0:0:0:0:0:1 - - [01/May/2023:22:37:24 +0530] "GET /Online_FIR_System/images/crime_icon.png HTTP/1.1" 200 7692
0:0:0:0:0:0:0:1 - - [01/May/2023:22:37:24 +0530] "GET /Online_FIR_System/images/android-app.png HTTP/1.1" 200 12900
0:0:0:0:0:0:0:1 - - [01/May/2023:22:37:25 +0530] "GET /Online_FIR_System/images/milky-way.jpg HTTP/1.1" 200 222169
0:0:0:0:0:0:0:1 - - [01/May/2023:22:37:25 +0530] "GET /Online_FIR_System/images/bg.jpg HTTP/1.1" 200 17296
0:0:0:0:0:0:0:1 - - [01/May/2023:22:37:44 +0530] "GET /Online_FIR_System/ HTTP/1.1" 200 23610
0:0:0:0:0:0:0:1 - - [01/May/2023:22:37:45 +0530] "GET /Online_FIR_System/images/logo.png HTTP/1.1" 200 186124
0:0:0:0:0:0:0:1 - - [01/May/2023:22:37:45 +0530] "GET /Online_FIR_System/images/ethana1.jpg HTTP/1.1" 200 28609
0:0:0:0:0:0:0:1 - - [01/May/2023:22:37:45 +0530] "GET /Online_FIR_System/images/2.jpg HTTP/1.1" 200 78034
0:0:0:0:0:0:0:1 - - [01/May/2023:22:37:45 +0530] "GET /Online_FIR_System/images/1.jpg HTTP/1.1" 200 233152
0:0:0:0:0:0:0:1 - - [01/May/2023:22:37:45 +0530] "GET /Online_FIR_System/images/3.jpg HTTP/1.1" 200 28300
0:0:0:0:0:0:0:1 - - [01/May/2023:22:37:45 +0530] "GET /Online_FIR_System/images/4.jpg HTTP/1.1" 200 54472
0:0:0:0:0:0:0:1 - - [01/May/2023:22:37:45 +0530] "GET /Online_FIR_System/images/5.jpg HTTP/1.1" 200 58473
0:0:0:0:0:0:0:1 - - [01/May/2023:22:37:45 +0530] "GET /Online_FIR_System/images/tender-ico.png HTTP/1.1" 200 10014
0:0:0:0:0:0:0:1 - - [01/May/2023:22:37:45 +0530] "GET /Online_FIR_System/images/circular.png HTTP/1.1" 200 9412
0:0:0:0:0:0:0:1 - - [01/May/2023:22:37:45 +0530] "GET /Online_FIR_System/images/go-ico.png HTTP/1.1" 200 11133
0:0:0:0:0:0:0:1 - - [01/May/2023:22:37:45 +0530] "GET /Online_FIR_System/images/crime_icon.png HTTP/1.1" 200 7692
0:0:0:0:0:0:0:1 - - [01/May/2023:22:37:45 +0530] "GET /Online_FIR_System/images/welfare-ico.png HTTP/1.1" 200 7708
0:0:0:0:0:0:0:1 - - [01/May/2023:22:37:45 +0530] "GET /Online_FIR_System/images/act-ico.png HTTP/1.1" 200 9216
0:0:0:0:0:0:0:1 - - [01/May/2023:22:37:45 +0530] "GET /Online_FIR_System/images/android-app.png HTTP/1.1" 200 12900
0:0:0:0:0:0:0:1 - - [01/May/2023:22:37:45 +0530] "GET /Online_FIR_System/images/milky-way.jpg HTTP/1.1" 200 222169
